P1 work time,P2 work time,P1 crit time,P2 crit time,P1 inc,P2 inc,time
0.00010, 0.00010, 0.00010, 0.00010, 1.00000, 1.00000, 0.052073
0.00010, 0.00010, 0.00010, 0.00010, 2.00000, 1.00000, 0.061001
0.00010, 0.00010, 0.00010, 0.00010, 3.00000, 1.00000, 0.068513
0.00010, 0.00010, 0.00010, 0.00010, 4.00000, 1.00000, 0.075898
0.00010, 0.00010, 0.00010, 0.00010, 5.00000, 1.00000, 0.080964
0.00010, 0.00010, 0.00010, 0.00010, 1.00000, 2.00000, 0.051520
0.00010, 0.00010, 0.00010, 0.00010, 2.00000, 2.00000, 0.057885
0.00010, 0.00010, 0.00010, 0.00010, 3.00000, 2.00000, 0.067382
0.00010, 0.00010, 0.00010, 0.00010, 4.00000, 2.00000, 0.072171
0.00010, 0.00010, 0.00010, 0.00010, 5.00000, 2.00000, 0.080105
0.00010, 0.00010, 0.00010, 0.00010, 1.00000, 3.00000, 0.051359
0.00010, 0.00010, 0.00010, 0.00010, 2.00000, 3.00000, 0.059633
0.00010, 0.00010, 0.00010, 0.00010, 3.00000, 3.00000, 0.067960
0.00010, 0.00010, 0.00010, 0.00010, 4.00000, 3.00000, 0.073239
0.00010, 0.00010, 0.00010, 0.00010, 5.00000, 3.00000, 0.080723
0.00010, 0.00010, 0.00010, 0.00010, 1.00000, 4.00000, 0.050569
0.00010, 0.00010, 0.00010, 0.00010, 2.00000, 4.00000, 0.057901
0.00010, 0.00010, 0.00010, 0.00010, 3.00000, 4.00000, 0.067814
0.00010, 0.00010, 0.00010, 0.00010, 4.00000, 4.00000, 0.075244
0.00010, 0.00010, 0.00010, 0.00010, 5.00000, 4.00000, 0.081250
0.00010, 0.00010, 0.00010, 0.00010, 1.00000, 5.00000, 0.052319
0.00010, 0.00010, 0.00010, 0.00010, 2.00000, 5.00000, 0.058078
0.00010, 0.00010, 0.00010, 0.00010, 3.00000, 5.00000, 0.067803
0.00010, 0.00010, 0.00010, 0.00010, 4.00000, 5.00000, 0.074257
0.00010, 0.00010, 0.00010, 0.00010, 5.00000, 5.00000, 0.080717
0.00010, 0.00010, 0.00010, 0.00050, 1.00000, 1.00000, 0.066188
0.00010, 0.00010, 0.00010, 0.00050, 2.00000, 1.00000, 0.071559
0.00010, 0.00010, 0.00010, 0.00050, 3.00000, 1.00000, 0.082161
0.00010, 0.00010, 0.00010, 0.00050, 4.00000, 1.00000, 0.086467
0.00010, 0.00010, 0.00010, 0.00050, 5.00000, 1.00000, 0.095362
0.00010, 0.00010, 0.00010, 0.00050, 1.00000, 2.00000, 0.063112
0.00010, 0.00010, 0.00010, 0.00050, 2.00000, 2.00000, 0.072757
0.00010, 0.00010, 0.00010, 0.00050, 3.00000, 2.00000, 0.081700
0.00010, 0.00010, 0.00010, 0.00050, 4.00000, 2.00000, 0.086256
0.00010, 0.00010, 0.00010, 0.00050, 5.00000, 2.00000, 0.094794
0.00010, 0.00010, 0.00010, 0.00050, 1.00000, 3.00000, 0.062516
0.00010, 0.00010, 0.00010, 0.00050, 2.00000, 3.00000, 0.072936
0.00010, 0.00010, 0.00010, 0.00050, 3.00000, 3.00000, 0.079944
0.00010, 0.00010, 0.00010, 0.00050, 4.00000, 3.00000, 0.087195
0.00010, 0.00010, 0.00010, 0.00050, 5.00000, 3.00000, 0.095614
0.00010, 0.00010, 0.00010, 0.00050, 1.00000, 4.00000, 0.064567
0.00010, 0.00010, 0.00010, 0.00050, 2.00000, 4.00000, 0.069411
0.00010, 0.00010, 0.00010, 0.00050, 3.00000, 4.00000, 0.082575
0.00010, 0.00010, 0.00010, 0.00050, 4.00000, 4.00000, 0.087029
0.00010, 0.00010, 0.00010, 0.00050, 5.00000, 4.00000, 0.094637
0.00010, 0.00010, 0.00010, 0.00050, 1.00000, 5.00000, 0.067056
0.00010, 0.00010, 0.00010, 0.00050, 2.00000, 5.00000, 0.070570
0.00010, 0.00010, 0.00010, 0.00050, 3.00000, 5.00000, 0.078383
0.00010, 0.00010, 0.00010, 0.00050, 4.00000, 5.00000, 0.087177
0.00010, 0.00010, 0.00010, 0.00050, 5.00000, 5.00000, 0.096059
0.00010, 0.00010, 0.00010, 0.00090, 1.00000, 1.00000, 0.076501
